Datum,Senaste,Öppen,Högst,Lägst,Vol.,+/- %
2017-06-21,"2.435,61","2.439,31","2.442,23","2.430,74",0,"-0,06"
2017-06-20,"2.437,03","2.450,66","2.450,66","2.436,60",0,"-0,67"
2017-06-19,"2.453,46","2.442,55","2.453,82","2.441,79",0,"0,83"
2017-06-16,"2.433,15","2.431,24","2.433,15","2.422,88",0,"0,03"
2017-06-15,"2.432,46","2.424,14","2.433,95","2.418,53",0,"-0,22"
2017-06-14,"2.437,92","2.443,75","2.443,75","2.428,34",0,"-0,10"
2017-06-13,"2.440,35","2.434,15","2.441,49","2.431,28",0,"0,45"
2017-06-12,"2.429,39","2.425,88","2.430,38","2.419,97",0,"-0,10"
2017-06-09,"2.431,77","2.436,39","2.446,20","2.415,70",0,"-0,08"
2017-06-08,"2.433,79","2.434,27","2.439,27","2.427,94",0,"0,03"
2017-06-07,"2.433,14","2.432,03","2.435,28","2.424,75",0,"0,16"
2017-06-06,"2.429,33","2.431,92","2.436,21","2.428,12",0,"-0,28"
2017-06-05,"2.436,10","2.437,83","2.439,55","2.434,32",0,"-0,12"
2017-06-02,"2.439,07","2.431,28","2.440,23","2.427,71",0,"0,37"
2017-06-01,"2.430,06","2.415,65","2.430,06","2.413,54",0,"0,76"
2017-05-31,"2.411,80","2.415,63","2.415,99","2.403,59",0,"-0,05"
2017-05-30,"2.412,91","2.411,67","2.415,26","2.409,43",0,"-0,12"
2017-05-26,"2.415,82","2.414,50","2.416,68","2.412,20",0,"0,03"
2017-05-25,"2.415,07","2.409,54","2.418,71","2.408,01",0,"0,44"
2017-05-24,"2.404,39","2.401,41","2.405,58","2.397,99",0,"0,25"
2017-05-23,"2.398,42","2.397,04","2.400,85","2.393,88",0,"0,18"
2017-05-22,"2.394,02","2.387,21","2.395,46","2.386,92",0,"0,52"
2017-05-19,"2.381,73","2.371,37","2.389,06","2.370,43",0,"0,68"
2017-05-18,"2.365,72","2.354,69","2.375,74","2.352,72",0,"0,37"
2017-05-17,"2.357,03","2.382,95","2.384,87","2.356,21",0,"-1,82"
2017-05-16,"2.400,67","2.404,55","2.405,77","2.396,05",0,"-0,07"
2017-05-15,"2.402,32","2.393,98","2.404,05","2.393,94",0,"0,48"
2017-05-12,"2.390,90","2.392,44","2.392,44","2.387,19",0,"-0,15"
2017-05-11,"2.394,44","2.394,84","2.395,72","2.381,74",0,"-0,22"
2017-05-10,"2.399,63","2.396,79","2.399,74","2.392,79",0,"0,11"
2017-05-09,"2.396,92","2.401,58","2.403,87","2.392,44",0,"-0,10"
2017-05-08,"2.399,38","2.399,94","2.401,36","2.393,92",0,"0,00"
2017-05-05,"2.399,29","2.392,37","2.399,29","2.389,38",0,"0,41"
2017-05-04,"2.389,52","2.389,79","2.391,43","2.380,35",0,"0,06"
2017-05-03,"2.388,13","2.386,50","2.389,82","2.379,75",0,"-0,13"
2017-05-02,"2.391,17","2.391,05","2.392,93","2.385,82",0,"0,12"
2017-05-01,"2.388,33","2.388,50","2.394,49","2.384,83",0,"0,17"
2017-04-28,"2.384,20","2.393,68","2.393,68","2.382,36",0,"-0,19"
2017-04-27,"2.388,77","2.389,70","2.392,10","2.382,68",0,"0,06"
2017-04-26,"2.387,45","2.388,98","2.398,16","2.386,76",0,"-0,05"
2017-04-25,"2.388,61","2.381,51","2.392,48","2.381,15",0,"0,61"
2017-04-24,"2.374,15","2.370,33","2.376,98","2.369,19",0,"1,08"
2017-04-21,"2.348,69","2.354,74","2.356,18","2.344,51",0,"-0,30"
2017-04-20,"2.355,84","2.342,69","2.361,37","2.340,91",0,"0,76"
2017-04-19,"2.338,17","2.346,79","2.352,63","2.335,05",0,"-0,17"
2017-04-18,"2.342,19","2.342,53","2.348,35","2.334,54",0,"-0,29"
2017-04-17,"2.349,01","2.332,62","2.349,14","2.332,51",0,"0,86"
2017-04-13,"2.328,95","2.341,98","2.348,26","2.328,95",0,"-0,68"
2017-04-12,"2.344,93","2.352,15","2.352,72","2.341,18",0,"-0,38"
2017-04-11,"2.353,78","2.353,92","2.355,22","2.337,25",0,"-0,14"
2017-04-10,"2.357,16","2.357,16","2.366,37","2.351,50",0,"0,07"
2017-04-07,"2.355,54","2.356,59","2.363,76","2.350,74",0,"-0,08"
2017-04-06,"2.357,49","2.353,79","2.364,16","2.348,90",0,"0,19"
2017-04-05,"2.352,95","2.366,59","2.378,36","2.350,52",0,"-0,31"
2017-04-04,"2.360,16","2.354,76","2.360,53","2.350,72",0,"0,06"
2017-04-03,"2.358,84","2.362,34","2.365,87","2.344,73",0,"-0,16"
2017-03-31,"2.362,72","2.364,82","2.370,35","2.362,60",0,"-0,23"
2017-03-30,"2.368,06","2.361,31","2.370,42","2.358,58",0,"0,29"
2017-03-29,"2.361,13","2.356,54","2.363,36","2.352,94",0,"0,11"
2017-03-28,"2.358,57","2.339,79","2.363,78","2.337,63",0,"0,73"
2017-03-27,"2.341,59","2.329,11","2.344,90","2.322,25",0,"-0,10"
2017-03-24,"2.343,98","2.350,42","2.356,22","2.335,74",0,"-0,08"
2017-03-23,"2.345,96","2.345,97","2.358,92","2.342,13",0,"-0,11"
2017-03-22,"2.348,45","2.343,00","2.351,81","2.336,45",0,"0,19"
2017-03-21,"2.344,02","2.379,32","2.381,93","2.341,90",0,"-1,24"
2017-03-20,"2.373,47","2.378,24","2.379,55","2.369,66",0,"-0,20"
2017-03-17,"2.378,25","2.383,71","2.385,71","2.377,64",0,"-0,13"
2017-03-16,"2.381,38","2.387,71","2.388,10","2.377,18",0,"-0,16"
2017-03-15,"2.385,26","2.370,34","2.390,01","2.368,94",0,"0,84"
2017-03-14,"2.365,45","2.368,55","2.368,55","2.358,18",0,"-0,34"
2017-03-13,"2.373,47","2.371,56","2.374,42","2.368,52",0,"0,04"
2017-03-10,"2.372,60","2.372,52","2.376,86","2.363,04",0,"0,33"
2017-03-09,"2.364,87","2.363,49","2.369,08","2.354,54",0,"0,08"
2017-03-08,"2.362,98","2.369,81","2.373,09","2.361,01",0,"-0,23"
2017-03-07,"2.368,39","2.370,74","2.375,12","2.365,51",0,"-0,29"
2017-03-06,"2.375,31","2.375,23","2.378,80","2.367,98",0,"-0,33"
2017-03-03,"2.383,12","2.380,92","2.383,89","2.375,39",0,"0,05"
2017-03-02,"2.381,92","2.394,75","2.394,75","2.380,17",0,"-0,59"
2017-03-01,"2.395,96","2.380,13","2.400,98","2.380,13",0,"1,37"
2017-02-28,"2.363,64","2.366,08","2.367,79","2.358,96",0,"-0,26"
2017-02-27,"2.369,75","2.365,23","2.371,54","2.361,87",0,"0,10"
2017-02-24,"2.367,34","2.355,73","2.367,34","2.352,87",0,"0,15"
2017-02-23,"2.363,81","2.367,50","2.368,26","2.355,09",0,"0,04"
2017-02-22,"2.362,82","2.361,11","2.365,13","2.358,34",0,"-0,11"
2017-02-21,"2.365,38","2.354,91","2.366,71","2.354,91",0,"0,60"
2017-02-17,"2.351,16","2.343,01","2.351,16","2.339,58",0,"0,17"
2017-02-16,"2.347,22","2.349,64","2.351,31","2.338,87",0,"-0,09"
2017-02-15,"2.349,25","2.335,58","2.351,30","2.334,81",0,"0,50"
2017-02-14,"2.337,58","2.326,12","2.337,58","2.322,17",0,"0,40"
2017-02-13,"2.328,25","2.321,72","2.331,58","2.321,42",0,"0,52"
2017-02-10,"2.316,10","2.312,27","2.319,23","2.311,10",0,"0,36"
2017-02-09,"2.307,87","2.296,70","2.311,08","2.296,61",0,"0,58"
2017-02-08,"2.294,67","2.289,55","2.295,91","2.285,38",0,"0,07"
2017-02-07,"2.293,08","2.295,87","2.299,40","2.290,16",0,"0,02"
2017-02-06,"2.292,56","2.294,28","2.296,18","2.288,57",0,"-0,21"
2017-02-03,"2.297,42","2.288,54","2.298,31","2.287,88",0,"0,73"
2017-02-02,"2.280,85","2.276,69","2.283,97","2.271,65",0,"0,06"
2017-02-01,"2.279,55","2.285,59","2.289,14","2.272,44",0,"0,03"
2017-01-31,"2.278,87","2.274,02","2.279,09","2.267,21",0,"-0,09"
2017-01-30,"2.280,90","2.286,01","2.286,01","2.268,04",0,"-0,60"
2017-01-27,"2.294,69","2.299,02","2.299,02","2.291,62",0,"-0,09"
2017-01-26,"2.296,68","2.298,63","2.300,99","2.294,08",0,"-0,07"
2017-01-25,"2.298,37","2.288,88","2.299,55","2.288,88",0,"0,80"
2017-01-24,"2.280,07","2.267,88","2.284,63","2.266,68",0,"0,66"
2017-01-23,"2.265,20","2.267,78","2.271,78","2.257,02",0,"-0,27"
2017-01-20,"2.271,31","2.269,96","2.276,96","2.265,01",0,"0,34"
2017-01-19,"2.263,69","2.271,90","2.274,33","2.258,41",0,"-0,36"
2017-01-18,"2.271,89","2.269,14","2.272,01","2.263,35",0,"0,18"
2017-01-17,"2.267,89","2.269,14","2.272,08","2.262,81",0,"-0,30"
2017-01-13,"2.274,64","2.272,74","2.278,68","2.271,51",0,"0,18"
2017-01-12,"2.270,44","2.271,14","2.271,78","2.254,25",0,"-0,21"
2017-01-11,"2.275,32","2.268,60","2.275,32","2.260,83",0,"0,28"
2017-01-10,"2.268,90","2.269,72","2.279,27","2.265,27",0,"0,00"
2017-01-09,"2.268,90","2.273,59","2.275,49","2.268,90",0,"-0,35"
2017-01-06,"2.276,98","2.271,14","2.282,10","2.264,06",0,"0,35"
2017-01-05,"2.269,00","2.268,18","2.271,50","2.260,45",0,"-0,08"
2017-01-04,"2.270,75","2.261,60","2.272,82","2.261,60",0,"0,57"
2017-01-03,"2.257,83","2.251,57","2.263,88","2.245,13",0,"0,85"
2016-12-30,"2.238,83","2.251,61","2.253,58","2.233,62",0,"-0,46"
2016-12-29,"2.249,26","2.249,50","2.254,51","2.244,56",0,"-0,03"
2016-12-28,"2.249,92","2.270,23","2.271,31","2.249,11",0,"-0,84"
2016-12-27,"2.268,88","2.266,23","2.273,82","2.266,15",0,"0,22"
